Student_ID,Full_Name,CGPA,Soft_Skills_Score,Technical_Skills,Leadership_Score,Experience_Years,No_of_Internships,Projects,Live_Backlogs,No_of_Certifications,Programming_Language,Gender,Branch,Year_of_Passing,Placement_Status,Company_Name
S1001,Sarah Brown,6.872700594236813,3.355351153623154,7.508152218235465,5.04824139541823,0.669981324181146,1,7,1,4,Java,Female,EEE,2021,Placed,Amazon
S1002,Jane Brown,9.75357153204958,3.2228091916479986,10.893310205719526,6.961852666247998,1.0432020558540003,4,2,0,4,C#,Male,CS,2021,Placed,Microsoft
S1003,Jane Jones,8.659969709057025,9.15629122468933,8.857753095514314,6.296542222466075,1.6222460078334309,4,6,0,0,Java,Female,EEE,2020,Placed,Oracle
S1004,Emma Johnson,7.993292420985183,3.245915798645555,6.209159360357222,3.5471600300084587,1.1503146542057014,2,2,2,4,Java,Male,CS,2022,Not Placed,None
S1005,Alex Davis,5.780093202212183,3.447547535157679,6.968648958712478,3.7592471369545883,1.4507612000286698,3,6,1,4,C#,Male,ME,2020,Placed,Oracle
S1006,Mike Davis,5.779972601681013,7.8345843617616735,3.6011633877163574,2.840494839401948,2.0572362480860744,4,0,3,3,JavaScript,Male,CS,2022,Not Placed,None
S1007,Sarah Smith,5.290418060840997,5.04765858205486,5.3666552401418,5.0654836824719185,1.2132657137136886,3,5,0,3,C++,Female,IT,2023,Placed,Microsoft
S1008,Emma Brown,9.330880728874675,7.990395012596631,4.330377516150719,5.991505223015144,0.47292076965588387,0,2,2,1,C#,Male,EEE,2021,Not Placed,None
S1009,Sarah Brown,8.005575058716044,1.588295418079467,8.207029579170332,6.2271932209085215,0.8408283843618909,3,7,1,4,JavaScript,Male,EEE,2023,Placed,Amazon
S1010,Sarah Jones,8.540362888980226,5.388140743060458,8.206464472442553,4.183024632009774,1.2802318239884438,1,6,0,4,Java,Female,EEE,2022,Placed,Google
S1011,Sarah Johnson,5.102922471479012,1.3025224016495436,5.391932779108034,5.836001708561136,1.1017391370993759,1,5,1,4,Python,Female,ECE,2020,Not Placed,None
S1012,Emma Brown,9.849549260809972,1.5638788310981906,6.0043000078791255,6.556744681769022,1.524137669040682,4,3,1,0,C++,Male,ECE,2021,Placed,Apple
S1013,David Williams,9.162213204002109,9.157937080099698,8.734552429519816,8.650530686718875,1.8077834683760319,3,3,0,4,JavaScript,Male,ME,2022,Placed,Apple
